2026/03/17 15:27:15 15:27:15 | localhost | Timeout | 0ms
2026/03/17 15:27:15 15:27:15 | google.com | OK | 67ms
2026/03/17 15:27:15 15:27:15 | github.com | OK | 95ms
2026/03/17 15:27:17 15:27:17 | 192.168.1.1 | Timeout | 0ms
2026/03/17 15:27:20 15:27:20 | localhost | Timeout | 0ms
2026/03/17 15:27:20 15:27:20 | google.com | OK | 41ms
2026/03/17 15:27:20 15:27:20 | github.com | OK | 72ms
2026/03/17 15:45:02 15:45:02 | github.com | OK | 8ms
2026/03/17 15:45:02 15:45:02 | localhost | OK | 8ms
2026/03/17 15:45:02 15:45:02 | google.com | OK | 8ms
2026/03/17 15:45:02 15:45:02 | 192.168.1.1 | OK | 8ms
2026/03/17 15:45:07 15:45:07 | localhost | OK | 1ms
2026/03/17 15:45:07 15:45:07 | github.com | OK | 1ms
2026/03/17 15:45:07 15:45:07 | google.com | OK | 1ms
2026/03/17 15:45:07 15:45:07 | 192.168.1.1 | OK | 1ms
2026/03/17 15:45:12 15:45:12 | localhost | OK | 2ms
2026/03/17 15:45:12 15:45:12 | 192.168.1.1 | OK | 2ms
2026/03/17 15:45:12 15:45:12 | google.com | OK | 68ms
2026/03/17 15:45:12 15:45:12 | github.com | OK | 77ms
2026/03/17 15:45:23 15:45:23 | localhost | Timeout | 0ms
2026/03/17 15:45:23 15:45:23 | google.com | OK | 82ms
2026/03/17 15:45:23 15:45:23 | github.com | OK | 85ms
2026/03/17 15:45:25 15:45:25 | 192.168.1.1 | Timeout | 0ms
2026/03/17 15:45:28 15:45:28 | localhost | Timeout | 0ms
2026/03/17 15:45:28 15:45:28 | google.com | OK | 67ms
2026/03/17 15:45:28 15:45:28 | github.com | OK | 74ms
